Salary_in_office,Annual Commute Cost,City,Role,Remote Work Expenses,remote_vs_office_cost_ratio,Total Remote salary,Total In-office salary,State,Job_Type,Salary_remote,Avg internet monthly payment,Unnamed: 0,Cost of Living Index,Avg.OfficeRent_per_sqft,Office Rent,Electricity Price (cents per kWh),In-Office Expenses
75801.0,3976.88,McAlester,Software,2219.4,0.84,94883.4,112843.88,Oklahoma,Federal,92664.0,81.27,22,84.24,18.37,33066.0,11.52,37042.88
97288.0,5433.45,Washington,Software,2877.83,0.68,134987.83,197293.45,District of Columbia,Federal,132110.0,77.95,23,120.1,52.54,94572.0,17.985451807228916,100005.45
85709.5,5151.54,Sheppard AFB,Software,2589.96,0.73,102744.96,140271.04,Texas,Federal,100155.0,77.95,24,91.05,27.45,49410.0,15.32,54561.54
52642.0,4666.31,Holloman AFB,Software,2361.6,1.11,102043.6,91634.31,New Mexico,Federal,99682.0,68.46,25,90.62,19.07,34326.0,14.26,38992.31
76825.0,3710.21,Lincoln,Software,2099.64,0.9,106269.64,117579.21,Nebraska,Federal,104170.0,77.95,26,94.7,20.58,37044.0,10.78,40754.21
116613.5,5590.44,Chantilly,Software,2602.08,0.65,106783.08,164989.94,Virginia,Federal,104181.0,86.7,27,94.71,23.77,42786.0,14.46,48376.44
126277.0,6001.22,Patuxent River,Software,2865.48,0.64,114097.48,179384.22,Maryland,Federal,111232.0,75.44,28,101.12,26.17,47106.0,18.15,53107.22
44526.5,3710.21,Lincoln,Software,2099.64,1.25,106269.64,85280.71,Nebraska,Federal,104170.0,77.95,29,94.7,20.58,37044.0,10.78,40754.21
44376.8,4094.4,Omaha,Software,2099.64,1.13,104289.64,92139.2,Nebraska,Federal,102190.0,77.95,30,92.9,24.26,43668.0,10.78,47762.4
44264.5,3902.3,Grand Island,Software,2099.64,1.17,99779.64,85228.8,Nebraska,Federal,97680.0,77.95,31,88.8,20.59,37062.0,10.78,40964.3
128722.0,7036.89,Point Mugu,Software,4234.8,0.68,142559.8,208262.89,California,Federal,138325.0,77.95,32,125.75,40.28,72504.0,30.55,79540.89
103367.5,7036.89,Edwards AFB,Software,4234.8,0.78,142559.8,182908.39,California,Federal,138325.0,77.95,33,125.75,40.28,72504.0,30.55,79540.89
128722.0,7036.89,Point Mugu,Software,4234.8,0.68,142559.8,208262.89,California,Federal,138325.0,77.95,34,125.75,40.28,72504.0,30.55,79540.89
63177.0,5392.82,Las Vegas,Software,2542.44,0.92,113312.44,122983.82,Nevada,Federal,110770.0,77.95,35,100.7,30.23,54414.0,14.88,59806.82
120104.5,6758.4,Garden City,Software,3567.36,0.57,110311.36,195010.9,New York,Federal,106744.0,77.95,36,97.04,37.86,68148.0,24.37,74906.4
107643.5,5590.44,Dahlgren,Software,2602.08,0.65,106783.08,165271.94,Virginia,Federal,104181.0,86.7,37,94.71,28.91,52038.0,14.46,57628.44
117195.5,5433.45,Joint Base Anacostia-Bolling,Software,2877.83,0.62,134987.83,217200.95,District of Columbia,Federal,132110.0,77.95,38,120.1,52.54,94572.0,17.985451807228916,100005.45
151120.0,5433.45,Washington DC,Software,2877.83,0.54,134987.83,251125.45,District of Columbia,Federal,132110.0,77.95,39,120.1,52.54,94572.0,17.985451807228916,100005.45
107643.5,5590.44,Dahlgren,Software,2602.08,0.65,106783.08,165271.94,Virginia,Federal,104181.0,86.7,40,94.71,28.91,52038.0,14.46,57628.44
100590.5,7036.89,China Lake,Software,4234.8,0.79,142559.8,180131.39,California,Federal,138325.0,77.95,41,125.75,40.28,72504.0,30.55,79540.89
52528.0,4872.75,Providence,Software,3668.88,1.12,126318.88,112984.75,Rhode Island,Federal,122650.0,77.95,42,111.5,30.88,55584.0,25.31,60456.75
106348.5,4054.52,Whitehall,Software,2661.24,0.68,100341.24,147411.02,Ohio,Federal,97680.0,77.95,43,88.8,20.56,37008.0,15.98,41062.52
85027.5,4333.44,Appleton,Software,2696.88,0.81,102466.88,127196.94,Wisconsin,Federal,99770.0,77.95,44,90.7,21.02,37836.0,16.31,42169.44
94629.0,5433.45,Washington,Software,2877.83,0.69,134987.83,194634.45,District of Columbia,Federal,132110.0,77.95,45,120.1,52.54,94572.0,17.985451807228916,100005.45
129078.0,5590.44,Dahlgren,Software,2602.08,0.57,106783.08,186706.44,Virginia,Federal,104181.0,86.7,46,94.71,28.91,52038.0,14.46,57628.44
138667.0,5590.44,Quantico,Software,2602.08,0.54,106783.08,196295.44,Virginia,Federal,104181.0,86.7,47,94.71,28.91,52038.0,14.46,57628.44
115429.5,5433.45,White River Junction,Software,3400.68,0.73,127480.68,175222.95,Vermont,Federal,124080.0,82.78,48,112.8,30.2,54360.0,22.29,59793.45
115429.5,5433.45,White River Junction,Software,3400.68,0.73,127480.68,175222.95,Vermont,Federal,124080.0,82.78,49,112.8,30.2,54360.0,22.29,59793.45
59157.0,6001.22,Columbia,Software,2865.48,1.04,114097.48,110176.22,Maryland,Federal,111232.0,75.44,50,101.12,25.01,45018.0,18.15,51019.22
120488.0,4392.38,Oklahoma City,Software,2219.4,0.6,98249.4,163634.38,Oklahoma,Federal,96030.0,81.27,51,87.3,21.53,38754.0,11.52,43146.38
101608.0,5433.45,Belgium,Software,2877.83,0.71,115275.83,161401.45,Belgium,Federal,112398.0,77.95,52,102.18,30.2,54360.0,17.985451807228916,59793.45
85027.5,5151.54,Texarkana,Software,2589.96,0.7,97519.96,139589.04,Texas,Federal,94930.0,77.95,53,86.3,27.45,49410.0,15.32,54561.54
59157.0,6001.22,Columbia,Software,2865.48,1.04,114097.48,110176.22,Maryland,Federal,111232.0,75.44,54,101.12,25.01,45018.0,18.15,51019.22
103084.8,4979.85,Jacksonville,Software,2392.32,0.66,103262.32,157528.65,North Carolina,Federal,100870.0,77.95,55,91.7,27.48,49464.0,13.49,54443.85
70277.0,5433.45,Grand Forks AFB,Software,1779.72,0.79,102407.72,130070.45,North Dakota,Federal,100628.0,56.42,56,91.48,30.2,54360.0,10.21,59793.45
118059.0,5590.44,Dahlgren,Software,2602.08,0.61,106783.08,175687.44,Virginia,Federal,104181.0,86.7,57,94.71,28.91,52038.0,14.46,57628.44
120488.0,4392.38,Oklahoma City,Software,2219.4,0.6,98249.4,163634.38,Oklahoma,Federal,96030.0,81.27,58,87.3,21.53,38754.0,11.52,43146.38
106600.5,3937.23,Saint Louis,Software,2123.16,0.64,98670.16,154817.73,Missouri,Federal,96547.0,72.8,59,87.77,24.6,44280.0,11.57,48217.23
106295.0,8415.01,Oakland,Software,4234.8,0.69,142559.8,207842.01,California,Federal,138325.0,77.95,60,125.75,51.74,93132.0,30.55,101547.01
106295.0,8415.01,Oakland,Software,4234.8,0.69,142559.8,207842.01,California,Federal,138325.0,77.95,61,125.75,51.74,93132.0,30.55,101547.01
35360.0,4469.83,Fort Campbell,Software,2388.96,1.32,99386.96,75271.83,Kentucky,Federal,96998.0,79.56,62,88.18,19.69,35442.0,13.28,39911.83
86351.2,3937.23,Whiteman AFB,Software,2123.16,0.76,98670.16,129150.43,Missouri,Federal,96547.0,72.8,63,87.77,21.59,38862.0,11.57,42799.23
73386.5,4979.85,Pope AFB,Software,2392.32,0.81,103416.32,127830.35,North Carolina,Federal,101024.0,77.95,64,91.84,27.48,49464.0,13.49,54443.85
87855.5,7036.89,Travis AFB,Software,4234.8,0.85,142559.8,167396.39,California,Federal,138325.0,77.95,65,125.75,40.28,72504.0,30.55,79540.89
43212.0,6659.49,Everett,Software,2213.04,1.3,119935.04,92369.49,Washington,Federal,117722.0,77.95,66,107.02,23.61,42498.0,11.83,49157.49
162445.0,4021.31,Redstone Arsenal,Software,2499.48,0.49,100806.48,203672.31,Alabama,Federal,98307.0,74.1,67,89.37,20.67,37206.0,14.91,41227.31
50000.0,6758.4,Fort Drum,Software,3567.36,0.94,110311.36,117166.4,New York,Federal,106744.0,77.95,68,97.04,33.56,60408.0,24.37,67166.4
101116.0,5029.32,Fort Shafter,Software,5330.88,1.01,175357.88,173609.32,Hawaii,Federal,170027.0,63.18,69,154.57,37.48,67464.0,42.34,72493.32
85709.5,4469.83,Lexington,Software,2388.96,0.82,102598.96,124721.33,Kentucky,Federal,100210.0,79.56,70,91.1,19.19,34542.0,13.28,39011.83
163861.0,5433.45,Washington,Software,2877.83,0.51,134987.83,263866.45,District of Columbia,Federal,132110.0,77.95,71,120.1,52.54,94572.0,17.985451807228916,100005.45
85819.0,4670.34,Indianapolis,Software,2492.76,0.79,101712.76,128001.34,Indiana,Federal,99220.0,77.95,72,90.2,20.84,37512.0,14.42,42182.34
168844.0,6001.22,Aberdeen Proving Ground,Software,2865.48,0.51,114097.48,221951.22,Maryland,Federal,111232.0,75.44,73,101.12,26.17,47106.0,18.15,53107.22
95937.0,5433.45,East Granby,Software,3910.92,0.82,123326.92,151086.45,Connecticut,Federal,119416.0,72.47,74,108.56,27.62,49716.0,28.16,55149.45
73231.0,4021.31,Gunter AFB,Software,2499.48,0.88,100806.48,114458.31,Alabama,Federal,98307.0,74.1,75,89.37,20.67,37206.0,14.91,41227.31
85441.5,3540.59,Corpus Christi,Software,2589.96,0.84,105219.96,125504.09,Texas,Federal,102630.0,77.95,76,93.3,20.29,36522.0,15.32,40062.59
143317.5,5433.45,Washington,Software,2877.83,0.55,134987.83,243322.95,District of Columbia,Federal,132110.0,77.95,77,120.1,52.54,94572.0,17.985451807228916,100005.45
113338.5,4666.31,Albuquerque,Software,2361.6,0.68,104551.6,154220.81,New Mexico,Federal,102190.0,68.46,78,92.9,20.12,36216.0,14.26,40882.31
39416.0,4979.85,Havelock,Software,2392.32,1.1,103416.32,93859.85,North Carolina,Federal,101024.0,77.95,79,91.84,27.48,49464.0,13.49,54443.85
42490.0,6024.26,Carlisle Barracks,Software,2912.76,1.06,105707.76,99994.26,Pennsylvania,Federal,102795.0,84.33,80,93.45,28.6,51480.0,17.6,57504.26
102882.5,4692.05,New Orleans,Software,2199.0,0.72,103839.0,143628.55,Louisiana,Federal,101640.0,77.95,81,92.4,20.03,36054.0,11.7,40746.05
100004.5,3693.64,Montgomery,Software,2499.48,0.71,99849.48,140904.14,Alabama,Federal,97350.0,74.1,82,88.5,20.67,37206.0,14.91,40899.64
57456.0,5433.45,Warren AFB,Software,1975.8,0.91,107080.8,117249.45,Wyoming,Federal,105105.0,58.63,83,95.55,30.2,54360.0,11.78,59793.45
58688.0,5059.37,Nellis AFB,Software,2542.44,1.04,116612.44,111681.37,Nevada,Federal,114070.0,77.95,84,103.7,26.63,47934.0,14.88,52993.37
52642.0,3973.93,Barksdale AFB,Software,2199.0,1.09,99659.0,91841.93,Louisiana,Federal,97460.0,77.95,85,88.6,19.57,35226.0,11.7,39199.93
138667.0,6001.22,National Maritime Intelligence Center,Software,2865.48,0.59,114097.48,191774.22,Maryland,Federal,111232.0,75.44,86,101.12,26.17,47106.0,18.15,53107.22
47944.0,3902.3,Offutt AFB,Software,2099.64,1.16,103442.64,88908.3,Nebraska,Federal,101343.0,77.95,87,92.13,20.59,37062.0,10.78,40964.3
85027.5,3937.23,Fort Leonard Wood,Software,2123.16,0.77,98670.16,127826.73,Missouri,Federal,96547.0,72.8,88,87.77,21.59,38862.0,11.57,42799.23
68224.0,4977.02,Eglin AFB,Software,2532.6,0.88,113918.6,129433.02,Florida,Federal,111386.0,83.25,89,101.26,31.24,56232.0,14.2,61209.02
34320.0,5433.45,Beaufort,Software,2388.0,1.19,105139.0,88497.45,South Carolina,Federal,102751.0,74.17,90,93.41,27.08,48744.0,13.87,54177.45
73188.5,4021.31,Redstone Arsenal,Software,2499.48,0.88,100806.48,114415.81,Alabama,Federal,98307.0,74.1,91,89.37,20.67,37206.0,14.91,41227.31
40560.0,5151.54,Fort Sam Houston,Software,2589.96,1.08,102744.96,95121.54,Texas,Federal,100155.0,77.95,92,91.05,27.45,49410.0,15.32,54561.54
40560.0,5151.54,Fort Sam Houston,Software,2589.96,1.08,102744.96,95121.54,Texas,Federal,100155.0,77.95,93,91.05,27.45,49410.0,15.32,54561.54
69836.0,4021.31,Gunter AFB,Operations Research Analyst,2499.48,0.71,78463.98,111063.31,Alabama,Federal,75964.5,74.1,94,89.37,20.67,37206.0,14.91,41227.31
145339.0,5590.44,Quantico,Operations Research Analyst,2602.08,0.41,83105.58,202967.44,Virginia,Federal,80503.5,86.7,95,94.71,28.91,52038.0,14.46,57628.44
163861.0,5590.44,Fort Belvoir,Operations Research Analyst,2602.08,0.38,83105.58,221489.44,Virginia,Federal,80503.5,86.7,96,94.71,28.91,52038.0,14.46,57628.44
135658.0,5433.45,Washington,Operations Research Analyst,2877.83,0.45,104962.83,235663.45,District of Columbia,Federal,102085.0,77.95,97,120.1,52.54,94572.0,17.985451807228916,100005.45
78307.5,7036.89,Los Angeles County,Operations Research Analyst,4234.8,0.7,111122.3,157848.39,California,Federal,106887.5,77.95,98,125.75,40.28,72504.0,30.55,79540.89
72951.0,4143.37,Salt Lake City,Operations Research Analyst,2018.28,0.73,92033.28,125622.37,Utah,Federal,90015.0,69.01,99,105.9,26.96,48528.0,11.02,52671.37
108213.5,6001.22,Annapolis Junction,Operations Research Analyst,2865.48,0.55,88817.48,161320.72,Maryland,Federal,85952.0,75.44,100,101.12,26.17,47106.0,18.15,53107.22
108213.5,6001.22,Annapolis Junction,Operations Research Analyst,2865.48,0.55,88817.48,161320.72,Maryland,Federal,85952.0,75.44,101,101.12,26.17,47106.0,18.15,53107.22
163861.0,6001.22,National Maritime Intelligence Center,Operations Research Analyst,2865.48,0.41,88817.48,216968.22,Maryland,Federal,85952.0,75.44,102,101.12,26.17,47106.0,18.15,53107.22
71287.5,4021.31,Gunter AFB,Operations Research Analyst,2499.48,0.7,78463.98,112514.81,Alabama,Federal,75964.5,74.1,103,89.37,20.67,37206.0,14.91,41227.31
138439.5,7036.89,Naval Air Station San Diego,Management Analyst,4234.8,0.57,123697.3,217980.39,California,Federal,119462.5,77.95,104,125.75,40.28,72504.0,30.55,79540.89
145339.0,5590.44,Quantico,Management Analyst,2602.08,0.46,92576.58,202967.44,Virginia,Federal,89974.5,86.7,105,94.71,28.91,52038.0,14.46,57628.44
57456.0,5285.46,Robins AFB,Management Analyst,2392.32,0.85,89697.32,105329.46,Georgia,Federal,87305.0,77.95,106,91.9,23.66,42588.0,13.49,47873.46
116613.5,6001.22,Patuxent River,Management Analyst,2865.48,0.58,98929.48,169720.72,Maryland,Federal,96064.0,75.44,107,101.12,26.17,47106.0,18.15,53107.22
138667.0,6024.26,New Cumberland Defense Logistics Center,Management Analyst,2912.76,0.47,91690.26,196171.26,Pennsylvania,Federal,88777.5,84.33,108,93.45,28.6,51480.0,17.6,57504.26
138667.0,5590.44,Arlington,Management Analyst,2602.08,0.42,92576.58,219785.44,Virginia,Federal,89974.5,86.7,109,94.71,41.96,75528.0,14.46,81118.44
116613.5,6001.22,Annapolis,Management Analyst,2865.48,0.56,98929.48,176182.72,Maryland,Federal,96064.0,75.44,110,101.12,29.76,53568.0,18.15,59569.22
78307.5,5693.03,Luke AFB,Management Analyst,2545.68,0.74,97916.18,133050.53,Arizona,Federal,95370.5,75.34,111,100.39,27.25,49050.0,15.2,54743.03
149510.5,5029.32,Fort Shafter,Management Analyst,5330.88,0.69,152172.38,222003.82,Hawaii,Federal,146841.5,63.18,112,154.57,37.48,67464.0,42.34,72493.32
89472.5,5590.44,Langley AFB,Management Analyst,2602.08,0.63,92576.58,147100.94,Virginia,Federal,89974.5,86.7,113,94.71,28.91,52038.0,14.46,57628.44
163861.0,5590.44,Fort Belvoir,Management Analyst,2602.08,0.42,92576.58,221489.44,Virginia,Federal,89974.5,86.7,114,94.71,28.91,52038.0,14.46,57628.44
94760.0,5285.46,Robins AFB,Management Analyst,2392.32,0.63,89697.32,142633.46,Georgia,Federal,87305.0,77.95,115,91.9,23.66,42588.0,13.49,47873.46
129078.0,5590.44,Quantico,Management Analyst,2602.08,0.5,92576.58,186706.44,Virginia,Federal,89974.5,86.7,116,94.71,28.91,52038.0,14.46,57628.44
98638.0,4054.52,Whitehall,Management Analyst,2661.24,0.62,87021.24,139700.52,Ohio,Federal,84360.0,77.95,117,88.8,20.56,37008.0,15.98,41062.52
122372.0,4977.02,Eglin AFB,Management Analyst,2532.6,0.54,98729.6,183581.02,Florida,Federal,96197.0,83.25,118,101.26,31.24,56232.0,14.2,61209.02
85027.5,4977.02,Tyndall AFB,Management Analyst,2532.6,0.68,98729.6,146236.52,Florida,Federal,96197.0,83.25,119,101.26,31.24,56232.0,14.2,61209.02
163861.0,6001.22,Camp Springs,Management Analyst,2865.48,0.46,98929.48,216968.22,Maryland,Federal,96064.0,75.44,120,101.12,26.17,47106.0,18.15,53107.22
121191.5,3973.93,Barksdale AFB,Management Analyst,2199.0,0.54,86369.0,160391.43,Louisiana,Federal,84170.0,77.95,121,88.6,19.57,35226.0,11.7,39199.93
78307.5,7036.89,Los Angeles County,Management Analyst,4234.8,0.78,123697.3,157848.39,California,Federal,119462.5,77.95,122,125.75,40.28,72504.0,30.55,79540.89
154882.5,6001.22,Camp Springs,Management Analyst,2865.48,0.48,98929.48,207989.72,Maryland,Federal,96064.0,75.44,123,101.12,26.17,47106.0,18.15,53107.22
72951.0,4143.37,Salt Lake City,Management Analyst,2018.28,0.82,102623.28,125622.37,Utah,Federal,100605.0,69.01,124,105.9,26.96,48528.0,11.02,52671.37
120678.0,5590.44,Springfield,Management Analyst,2602.08,0.54,92576.58,170314.44,Virginia,Federal,89974.5,86.7,125,94.71,24.47,44046.0,14.46,49636.44
85027.5,5433.45,Helena,Management Analyst,2762.4,0.7,101752.4,144820.95,Montana,Federal,98990.0,123.37,126,104.2,30.2,54360.0,11.87,59793.45
128159.0,7289.35,Atlanta,Management Analyst,2392.32,0.49,97677.32,198070.35,Georgia,Federal,95285.0,77.95,127,100.3,34.79,62622.0,13.49,69911.35
163861.0,6001.22,National Maritime Intelligence Center,Management Analyst,2865.48,0.46,98929.48,216968.22,Maryland,Federal,96064.0,75.44,128,101.12,26.17,47106.0,18.15,53107.22
74891.0,7041.83,Scott AFB,Management Analyst,2662.32,0.69,86319.32,124754.83,Illinois,Federal,83657.0,77.95,129,88.06,23.79,42822.0,15.99,49863.83
136742.0,5433.45,New London,Management Analyst,3910.92,0.58,104515.92,179219.45,Connecticut,Federal,100605.0,72.47,130,105.9,20.58,37044.0,28.16,42477.45
74891.0,7041.83,Scott AFB,Management Analyst,2662.32,0.69,86319.32,124754.83,Illinois,Federal,83657.0,77.95,131,88.06,23.79,42822.0,15.99,49863.83
120557.5,5433.45,Singapore,Management Analyst,2877.83,0.55,99948.83,180350.95,Singapore,Federal,97071.0,77.95,132,102.18,30.2,54360.0,17.985451807228916,59793.45
100004.5,3693.64,Montgomery,Management Analyst,2499.48,0.61,86574.48,140904.14,Alabama,Federal,84075.0,74.1,133,88.5,20.67,37206.0,14.91,40899.64
147255.5,8059.16,Atlantic City,Management Analyst,3098.4,0.47,99998.4,211456.66,New Jersey,Federal,96900.0,82.79,134,102.0,31.19,56142.0,19.49,64201.16
100004.5,5433.45,Kingshill,Management Analyst,2877.83,0.63,99948.83,159797.95,Virgin Islands,Federal,97071.0,77.95,135,102.18,30.2,54360.0,17.985451807228916,59793.45
101917.0,3710.21,Lincoln,Management Analyst,2099.64,0.65,92064.64,142671.21,Nebraska,Federal,89965.0,77.95,136,94.7,20.58,37044.0,10.78,40754.21
163861.0,5590.44,Fort Belvoir,IT Project,2602.08,0.46,102047.58,221489.44,Virginia,Federal,99445.5,86.7,137,94.71,28.91,52038.0,14.46,57628.44
131069.0,3880.78,Battle Creek,IT Project,2923.68,0.54,93118.68,173505.78,Michigan,Federal,90195.0,77.95,138,85.9,21.42,38556.0,18.41,42436.78
131069.0,3880.78,Battle Creek,IT Project,2923.68,0.54,93118.68,173505.78,Michigan,Federal,90195.0,77.95,139,85.9,21.42,38556.0,18.41,42436.78
101917.0,4977.02,MacDill AFB,IT Project,2532.6,0.67,108855.6,163126.02,Florida,Federal,106323.0,83.25,140,101.26,31.24,56232.0,14.2,61209.02
121191.5,5433.45,NIWC LANT Charleston,IT Project,2388.0,0.57,100468.5,175368.95,South Carolina,Federal,98080.5,74.17,141,93.41,27.08,48744.0,13.87,54177.45
157477.5,5433.45,NIWC LANT Charleston,IT Project,2388.0,0.47,100468.5,211654.95,South Carolina,Federal,98080.5,74.17,142,93.41,27.08,48744.0,13.87,54177.45
122403.0,3902.3,Offutt AFB,IT Project,2099.64,0.6,98836.14,163367.3,Nebraska,Federal,96736.5,77.95,143,92.13,20.59,37062.0,10.78,40964.3
155535.0,5151.54,Kelly AFB,IT Project,2589.96,0.47,98192.46,210096.54,Texas,Federal,95602.5,77.95,144,91.05,27.45,49410.0,15.32,54561.54
151153.5,5151.54,Kelly AFB,IT Project,2589.96,0.48,98192.46,205715.04,Texas,Federal,95602.5,77.95,145,91.05,27.45,49410.0,15.32,54561.54
129237.0,4251.07,San Antonio,IT Project,2589.96,0.55,99924.96,182700.07,Texas,Federal,97335.0,77.95,146,92.7,27.34,49212.0,15.32,53463.07
163861.0,5433.45,Washington,IT Project,2877.83,0.49,128982.83,263866.45,District of Columbia,Federal,126105.0,77.95,147,120.1,52.54,94572.0,17.985451807228916,100005.45
145731.5,5433.45,Washington,IT Project,2877.83,0.52,128982.83,245736.95,District of Columbia,Federal,126105.0,77.95,148,120.1,52.54,94572.0,17.985451807228916,100005.45
149510.5,5029.32,Honolulu,IT Project,5330.88,0.77,171230.88,222003.82,Hawaii,Federal,165900.0,63.18,149,158.0,37.48,67464.0,42.34,72493.32
163861.0,5590.44,Quantico,IT Project,2602.08,0.46,102047.58,221489.44,Virginia,Federal,99445.5,86.7,150,94.71,28.91,52038.0,14.46,57628.44
101917.0,8319.68,Chicago,IT Project,2662.32,0.63,107767.32,171724.68,Illinois,Federal,105105.0,77.95,151,100.1,34.16,61488.0,15.99,69807.68
160305.5,5433.45,Washington DC,IT Project,2877.83,0.5,128982.83,260310.95,District of Columbia,Federal,126105.0,77.95,152,120.1,52.54,94572.0,17.985451807228916,100005.45
89800.5,5740.88,Fort Carson,IT Project,2572.68,0.82,116287.68,141225.38,Colorado,Federal,113715.0,77.95,153,108.3,25.38,45684.0,15.16,51424.88
121191.5,8319.68,Chicago,IT Project,2662.32,0.56,107767.32,190999.18,Illinois,Federal,105105.0,77.95,154,100.1,34.16,61488.0,15.99,69807.68
112810.5,8319.68,Chicago,IT Project,2662.32,0.59,107767.32,182618.18,Illinois,Federal,105105.0,77.95,155,100.1,34.16,61488.0,15.99,69807.68
129078.0,5433.45,Washington,IT Project,2877.83,0.56,128982.83,229083.45,District of Columbia,Federal,126105.0,77.95,156,120.1,52.54,94572.0,17.985451807228916,100005.45
75000.5,5433.45,Washington,IT Project,2877.83,0.74,128982.83,175005.95,District of Columbia,Federal,126105.0,77.95,157,120.1,52.54,94572.0,17.985451807228916,100005.45
124708.0,4670.34,Indianapolis,IT Project,2492.76,0.58,97202.76,166890.34,Indiana,Federal,94710.0,77.95,158,90.2,20.84,37512.0,14.42,42182.34
112810.5,8319.68,Chicago,IT Project,2662.32,0.59,107767.32,182618.18,Illinois,Federal,105105.0,77.95,159,100.1,34.16,61488.0,15.99,69807.68
126461.5,4054.52,Whitehall,IT Project,2661.24,0.57,95901.24,167524.02,Ohio,Federal,93240.0,77.95,160,88.8,20.56,37008.0,15.98,41062.52
115107.5,5029.32,Fort Shafter,IT Project,5330.88,0.89,167629.38,187600.82,Hawaii,Federal,162298.5,63.18,161,154.57,37.48,67464.0,42.34,72493.32
87788.0,4469.83,Fort Campbell,IT Project,2388.96,0.74,94977.96,127699.83,Kentucky,Federal,92589.0,79.56,162,88.18,19.69,35442.0,13.28,39911.83
138667.0,5590.44,Quantico,IT Project,2602.08,0.52,102047.58,196295.44,Virginia,Federal,99445.5,86.7,163,94.71,28.91,52038.0,14.46,57628.44
