Role,Sector,Experience,City,State,Salary_in_office,Salary_remote,Avg.OfficeRent_per_sqft,Office Rent,Annual Commute Cost,Avg internet monthly payment,Electricity Price (cents per kWh),Cost of Living Index,National_Avg_Salary,In-Office Expenses,Remote Work Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio
Accountant,Private,Entry,Aberdeen,Washington,32750.0,44450.944,31.45,56610.0,6659.49,80.83,11.83,97.6,45544.0,63269.49,2247.6,96019.49,46698.54,0.49
Accountant,Private,Entry,Benbrook,Texas,52500.0,41467.812,27.45,49410.0,5151.54,80.83,15.32,91.05,45544.0,54561.54,2624.52,107061.54,44092.33,0.41
Accountant,Private,Entry,Troy,Ohio,74000.0,40443.072,20.56,37008.0,4054.52,80.83,15.98,88.8,45544.0,41062.52,2695.8,115062.52,43138.87,0.37
Accountant,Private,Entry,Dublin,California,125000.0,57271.58,40.28,72504.0,7036.89,80.83,30.55,125.75,45544.0,79540.89,4269.36,204540.89,61540.94,0.3
Accountant,Private,Entry,New York,New York,55000.0,58296.32,33.56,60408.0,10831.74,80.83,24.37,128.0,45544.0,71239.74,3601.92,126239.74,61898.24,0.49
Accountant,Private,Entry,San Rafael,California,25000.0,57271.58,42.56,76608.0,7036.89,80.83,30.55,125.75,45544.0,83644.89,4269.36,108644.89,61540.94,0.57
Accountant,Private,Entry,San Diego,California,27000.0,62030.928,41.6,74880.0,6210.03,80.83,30.55,136.2,45544.0,81090.03,4269.36,108090.03,66300.29,0.61
Accountant,Private,Entry,Little Rock,Arkansas,67500.0,40078.72,19.74,35532.0,3854.67,80.01,11.74,88.0,45544.0,39386.67,2228.04,106886.67,42306.76,0.4
Accountant,Private,Entry,Terrell,Texas,4000.0,41467.812,27.45,49410.0,5151.54,80.83,15.32,91.05,45544.0,54561.54,2624.52,58561.54,44092.33,0.75
Accountant,Private,Entry,Richmond,Virginia,64000.0,45179.648,23.34,42012.0,4570.38,86.7,14.46,99.2,45544.0,46582.38,2602.08,110582.38,47781.73,0.43
Accountant,Private,Entry,Great River,New York,65000.0,44195.8976,33.56,60408.0,6758.4,80.83,24.37,97.04,45544.0,67166.4,3601.92,132166.4,47797.82,0.36
Accountant,Private,Entry,Los Gatos,California,34295.0,57271.58,44.61,80298.0,7036.89,80.83,30.55,125.75,45544.0,87334.89,4269.36,121629.89,61540.94,0.51
Accountant,Private,Entry,Reston,Virginia,65000.0,43134.72240000000,30.21,54378.0,5590.44,86.7,14.46,94.71,45544.0,59968.44,2602.08,124968.44,45736.8,0.37
Accountant,Private,Entry,Nashville,Tennessee,5000.0,45589.544000000000,30.46,54828.0,5088.14,80.83,13.04,100.1,45544.0,59916.14,2378.28,64916.14,47967.82,0.74
Accountant,Private,Entry,Brookfield,Wisconsin,72500.0,41608.9984,19.71,35478.0,4333.44,80.83,16.31,91.36,45544.0,39811.44,2731.44,112311.44,44340.44,0.39
Accountant,Private,Entry,Hyattsville,Maryland,65000.0,46054.092800000000,25.19,45342.0,6001.22,75.44,18.15,101.12,45544.0,51343.22,2865.48,116343.22,48919.57,0.42
Accountant,Private,Entry,Seattle,Washington,130000.0,56747.82400000000,43.13,77634.0,10361.54,80.83,11.83,124.6,45544.0,87995.54,2247.6,217995.54,58995.42,0.27
Accountant,Private,Entry,Portland,Maine,73000.0,51464.72,19.13,34434.0,7073.12,80.83,26.29,113.0,45544.0,41507.12,3809.28,114507.12,55274.0,0.48
Accountant,Private,Entry,Denver,Colorado,54000.0,51054.82400000000,36.45,65610.0,6740.21,80.83,15.16,112.1,45544.0,72350.21,2607.24,126350.21,53662.06,0.42
Accountant,Private,Entry,Gainesville,Florida,75500.0,44314.312000000000,31.24,56232.0,4977.02,83.25,14.2,97.3,45544.0,61209.02,2532.6,136709.02,46846.91,0.34
Accountant,Private,Entry,Austin,Texas,60500.0,48549.904000000000,41.81,75258.0,6365.46,80.83,15.32,106.6,45544.0,81623.46,2624.52,142123.46,51174.42,0.36
Accountant,Private,Entry,Buffalo,New York,53500.0,44314.312000000000,19.21,34578.0,4174.42,80.83,24.37,97.3,45544.0,38752.42,3601.92,92252.42,47916.23,0.52
Accountant,Private,Entry,Scottsdale,Arizona,84000.0,45721.6216,33.08,59544.0,6794.99,75.34,15.2,100.39,45544.0,66338.99,2545.68,150338.99,48267.3,0.32
Accountant,Private,Entry,Milwaukee,Wisconsin,27000.0,42720.272,23.29,41922.0,3992.97,80.83,16.31,93.8,45544.0,45914.97,2731.44,72914.97,45451.71,0.62
Accountant,Private,Entry,Aurora,Illinois,32440.000000000000,40106.0464,22.7,40860.0,5763.98,80.83,15.99,88.06,45544.0,46623.98,2696.88,79063.98,42802.93,0.54
Accountant,Private,Entry,Geneva,New York,46500.0,44195.8976,33.56,60408.0,6758.4,80.83,24.37,97.04,45544.0,67166.4,3601.92,113666.4,47797.82,0.42
Accountant,Private,Entry,Newport News,Virginia,56500.0,43134.72240000000,18.48,33264.0,4082.0,86.7,14.46,94.71,45544.0,37346.0,2602.08,93846.0,45736.8,0.49
Accountant,Private,Entry,Fort Morgan,Colorado,72500.0,49324.152,25.38,45684.0,5740.88,80.83,15.16,108.3,45544.0,51424.88,2607.24,123924.88,51931.39,0.42
Accountant,Private,Entry,Denver,Colorado,23250.0,51054.82400000000,36.45,65610.0,6740.21,80.83,15.16,112.1,45544.0,72350.21,2607.24,95600.21,53662.06,0.56
Accountant,Private,Entry,Covington,Louisiana,98000.0,40351.984,19.57,35226.0,3973.93,80.83,11.7,88.6,45544.0,39199.93,2233.56,137199.93,42585.54,0.31
Accountant,Private,Entry,Ramsey,Minnesota,67500.0,44683.2184,25.42,45756.0,5231.86,68.66,14.05,98.11,45544.0,50987.86,2341.32,118487.86,47024.54,0.4
Accountant,Private,Entry,Dallas,Texas,68500.0,44860.84,26.83,48294.0,5360.48,80.83,15.32,98.5,45544.0,53654.48,2624.52,122154.48,47485.36,0.39
Accountant,Private,Entry,Walker,Michigan,93000.0,40916.7296,21.42,38556.0,3880.78,80.83,18.41,89.84,45544.0,42436.78,2958.24,135436.78,43874.97,0.32
Accountant,Private,Entry,Santa Rosa,California,48480.0,64535.848,27.11,48798.0,6403.12,80.83,30.55,141.7,45544.0,55201.12,4269.36,103681.12,68805.21,0.66
Accountant,Private,Entry,Pennsauken,New Jersey,67500.0,47092.49600000000,31.19,56142.0,8059.16,82.79,19.49,103.4,45544.0,64201.16,3098.4,131701.16,50190.9,0.38
Accountant,Private,Entry,Reading,Pennsylvania,52000.0,43722.24,28.6,51480.0,6024.26,84.33,17.6,96.0,45544.0,57504.26,2912.76,109504.26,46635.0,0.43
Accountant,Private,Entry,Lockhart,Texas,55000.0,41467.812,27.45,49410.0,5151.54,80.83,15.32,91.05,45544.0,54561.54,2624.52,109561.54,44092.33,0.4
Accountant,Private,Entry,Tampa,Florida,32000.0,46181.61600000000,31.47,56646.0,5623.94,83.25,14.2,101.4,45544.0,62269.94,2532.6,94269.94,48714.22,0.52
Accountant,Private,Entry,Gilbert,Arizona,57000.0,45721.6216,23.33,41994.0,7393.71,75.34,15.2,100.39,45544.0,49387.71,2545.68,106387.71,48267.3,0.45
Accountant,Private,Entry,Virginia Beach,Virginia,22500.0,45088.56,23.17,41706.0,5225.73,86.7,14.46,99.0,45544.0,46931.73,2602.08,69431.73,47690.64,0.69
Accountant,Private,Entry,Garner,North Carolina,54000.0,41827.6096,27.48,49464.0,4979.85,80.83,13.49,91.84,45544.0,54443.85,2426.88,108443.85,44254.49,0.41
Accountant,Private,Entry,Elizabeth,New Jersey,58500.0,47092.49600000000,31.19,56142.0,8059.16,82.79,19.49,103.4,45544.0,64201.16,3098.4,122701.16,50190.9,0.41
Accountant,Private,Entry,Union,New Jersey,58000.0,47092.49600000000,31.19,56142.0,8059.16,82.79,19.49,103.4,45544.0,64201.16,3098.4,122201.16,50190.9,0.41
Accountant,Private,Entry,Wise,Virginia,63000.0,43134.72240000000,28.91,52038.0,5590.44,86.7,14.46,94.71,45544.0,57628.44,2602.08,120628.44,45736.8,0.38
Accountant,Private,Entry,Reserve,Louisiana,5000.0,40351.984,19.57,35226.0,3973.93,80.83,11.7,88.6,45544.0,39199.93,2233.56,44199.93,42585.54,0.96
Accountant,Private,Entry,Gainesville,Florida,28975.0,44314.312000000000,31.24,56232.0,4977.02,83.25,14.2,97.3,45544.0,61209.02,2532.6,90184.02,46846.91,0.52
