,Role,Salary_in_office,Experience,City,State,Salary_remote,Avg.OfficeRent_per_sqft,Avg internet monthly payment,Annual Commute Cost,Electricity Price (cents per kWh),Cost of Living Index,adjusted_national_salary,Remote Work Expenses,Office Rent,In-Office Expenses,Total In-office salary,Total Remote salary,remote_vs_office_cost_ratio
17,Software quality assurance tester,71500.0,Entry,Albany,New York,56056.0,19.46,80.83,6758.4,24.37,100.1,56000.0,3601.92,35028.0,41786.4,113286.4,59657.92,0.5266114908762217
18,Software quality assurance tester,38560.0,Entry,Santa Fe,New Mexico,58856.0,19.07,68.46,4666.31,14.26,105.1,56000.0,2361.6,34326.0,38992.31,77552.31,61217.6,0.7893717156845489
19,Software quality assurance tester,203500.0,Entry,Cupertino,California,70420.0,65.47,80.83,7036.89,30.55,125.75,56000.0,4269.360000000001,117846.0,124882.89,328382.89,74689.36,0.2274459549338883
20,Software quality assurance tester,36790.0,Entry,Oklahoma City,Oklahoma,48888.0,21.53,81.27,4392.38,11.52,87.3,56000.0,2219.4,38754.0,43146.38,79936.38,51107.4,0.6393509438380872
21,Software quality assurance tester,82000.0,Entry,Atlanta,Georgia,56168.0,34.79,80.83,7289.35,13.49,100.3,56000.0,2426.88,62622.0,69911.35,151911.35,58594.88,0.3857175912135597
22,Software quality assurance tester,88500.0,Entry,Anaheim Hills,California,70420.0,40.28,80.83,7036.89,30.55,125.75,56000.0,4269.360000000001,72504.0,79540.89,168040.89,74689.36,0.4444713426595157
23,Software quality assurance tester,76500.0,Entry,Dayton,Ohio,49504.0,18.88,80.83,4054.52,15.98,88.4,56000.0,2695.8,33984.0,38038.52,114538.52,52199.8,0.4557401300453333
24,Software quality assurance tester,168500.0,Entry,Cupertino,California,70420.0,65.47,80.83,7036.89,30.55,125.75,56000.0,4269.360000000001,117846.0,124882.89,293382.89,74689.36,0.2545798086589166
25,Software quality assurance tester,83000.0,Entry,Huntsville,Alabama,51128.0,24.98,74.1,4951.76,14.91,91.3,56000.0,2499.48,44964.0,49915.76,132915.76,53627.48,0.403469686363754
26,Software quality assurance tester,40000.0,Entry,San Jose,California,97160.0,45.99,80.83,8394.62,30.55,173.5,56000.0,4269.360000000001,82782.0,91176.62,131176.62,101429.36,0.7732274242162971
27,Software quality assurance tester,34000.0,Entry,Barceloneta,Puerto Rico,63756.0,36.46,80.83,7073.12,20.269186534216335,113.85,56000.0,3159.0321456953643,65628.0,72701.12,106701.12,66915.03214569537,0.6271258647115923
28,Software quality assurance tester,74000.0,Entry,South Jordan,Utah,55977.6,27.57,69.01,4143.37,11.02,99.96,56000.0,2018.28,49626.0,53769.37,127769.37,57995.88,0.4539106673219097
29,Software quality assurance tester,70500.0,Entry,Laramie,Wyoming,53508.0,36.46,58.63,7073.12,11.78,95.55,56000.0,1975.8,65628.0,72701.12,143201.12,55483.8,0.3874536735466873
30,Software quality assurance tester,127000.0,Entry,Santa Monica,California,70420.0,64.94,80.83,7036.89,30.55,125.75,56000.0,4269.360000000001,116892.0,123928.89,250928.89,74689.36,0.2976514980000908
31,Software quality assurance tester,76000.0,Entry,Round Rock,Texas,50988.0,27.45,80.83,5151.54,15.32,91.05,56000.0,2624.52,49410.0,54561.54,130561.54,53612.52,0.4106302667692185
32,Software quality assurance tester,65000.0,Entry,Morehead City,North Carolina,57232.0,27.48,80.83,4979.85,13.49,102.2,56000.0,2426.88,49464.0,54443.85,119443.85,59658.88,0.4994721787685175
33,Software quality assurance tester,81000.0,Entry,Omaha,Nebraska,52024.0,24.26,80.83,4094.4,10.78,92.9,56000.0,2134.2,43668.00000000001,47762.40000000001,128762.4,54158.2,0.4206057047709579
34,Software quality assurance tester,47000.0,Entry,Florence,Kentucky,49380.8,20.2,79.56,4469.83,13.28,88.18,56000.0,2388.96,36360.0,40829.83,87829.83,51769.76,0.5894325424516933
35,Software quality assurance tester,37500.0,Entry,Atlanta,Georgia,56168.0,34.79,80.83,7289.35,13.49,100.3,56000.0,2426.88,62622.0,69911.35,107411.35,58594.88,0.5455185136393872
36,Software quality assurance tester,71000.0,Entry,Bridgeton,Missouri,49151.2,21.59,72.8,3937.23,11.57,87.77,56000.0,2123.16,38862.0,42799.23,113799.23,51274.36,0.4505686022655865
37,Software quality assurance tester,85000.0,Entry,San Jose,California,97160.0,45.99,80.83,8394.62,30.55,173.5,56000.0,4269.360000000001,82782.0,91176.62,176176.62,101429.36,0.5757254282662478
38,Software quality assurance tester,138500.0,Entry,Charlotte,North Carolina,54824.0,33.02,80.83,5658.26,13.49,97.9,56000.0,2426.88,59436.000000000015,65094.26000000002,203594.26,57250.88,0.2812008550732225
39,Software quality assurance tester,81500.0,Entry,,Virginia,53037.6,28.91,86.7,5590.44,14.46,94.71,56000.0,2602.08,52038.0,57628.44,139128.44,55639.68,0.3999159337947007
40,Software quality assurance tester,87500.0,Entry,South San Francisco,California,70420.0,48.02,80.83,7036.89,30.55,125.75,56000.0,4269.360000000001,86436.00000000001,93472.89,180972.89,74689.36,0.4127102131153456
41,Software quality assurance tester,118000.0,Entry,Baton Rouge,Louisiana,51016.0,20.05,80.83,3786.25,11.7,91.1,56000.0,2233.56,36090.0,39876.25,157876.25,53249.56,0.3372867039849249
42,Software quality assurance tester,90000.0,Entry,Lafayette,Colorado,60648.0,25.38,80.83,5740.88,15.16,108.3,56000.0,2607.24,45684.0,51424.88,141424.88,63255.24,0.4472709469507769
43,Software quality assurance tester,115000.0,Entry,Sterling,Virginia,53037.6,22.26,86.7,5590.44,14.46,94.71,56000.0,2602.08,40068.00000000001,45658.44000000001,160658.44,55639.68,0.3463227951173931
44,Software quality assurance tester,69500.0,Entry,San Diego,California,76271.99999999999,41.6,80.83,6210.03,30.55,136.2,56000.0,4269.360000000001,74880.0,81090.03,150590.03,80541.35999999999,0.5348385945603437
45,Software quality assurance tester,112000.0,Entry,Kansas City,Missouri,51296.0,20.86,72.8,4508.63,11.57,91.6,56000.0,2123.16,37548.0,42056.63,154056.63,53419.16,0.3467501528496371
46,Software quality assurance tester,92000.0,Entry,Washington,District of Columbia,67256.0,52.54,80.83,7073.12,20.269186534216335,120.1,56000.0,3159.0321456953643,94572.0,101645.12,193645.12,70415.03214569537,0.3636292623624875
47,Software quality assurance tester,78500.0,Entry,Brentwood,Tennessee,50618.4,31.76,80.83,4096.03,13.04,90.39,56000.0,2378.2799999999997,57168.0,61264.03,139764.03,52996.68,0.3791868336939054
48,Software quality assurance tester,43500.0,Entry,Denver,Colorado,62776.0,36.45,80.83,6740.21,15.16,112.1,56000.0,2607.24,65610.0,72350.21,115850.21,65383.24,0.5643773973305701
49,Software quality assurance tester,16000.0,Entry,Wichita,Kansas,48608.0,18.33,80.83,3524.25,13.85,86.8,56000.0,2465.76,32993.99999999999,36518.24999999999,52518.24999999999,51073.76,0.9724954658618672
50,Software quality assurance tester,72500.0,Entry,Grand Rapids,Michigan,52472.0,22.56,80.83,3494.24,18.41,93.7,56000.0,2958.24,40608.0,44102.24,116602.24,55430.24,0.4753788606462449
51,Software quality assurance tester,154500.0,Entry,Colorado Springs,Colorado,57232.0,22.25,80.83,4572.31,15.16,102.2,56000.0,2607.24,40050.0,44622.31,199122.31,59839.24,0.3005149950299391
52,Software quality assurance tester,106000.0,Entry,Albany,New York,56056.0,19.46,80.83,6758.4,24.37,100.1,56000.0,3601.92,35028.0,41786.4,147786.4,59657.92,0.4036766576626807
53,Software quality assurance tester,71000.0,Entry,Reno,Nevada,60144.0,25.82,80.83,4502.88,14.88,107.4,56000.0,2577.0,46476.0,50978.88,121978.88,62721.0,0.514195572217092
54,Software quality assurance tester,95500.0,Entry,Eglin AFB,Florida,56705.6,31.24,83.25,4977.02,14.2,101.26,56000.0,2532.6,56232.0,61209.02,156709.02000000002,59238.2,0.3780139777531631
55,Software quality assurance tester,79500.0,Entry,Largo,Florida,56705.6,31.24,83.25,4977.02,14.2,101.26,56000.0,2532.6,56232.0,61209.02,140709.02000000002,59238.2,0.4209978862762315
56,Software quality assurance tester,98500.0,Entry,Salt Lake City,Utah,59304.0,26.96,69.01,4143.37,11.02,105.9,56000.0,2018.28,48528.0,52671.37,151171.37,61322.28,0.4056474450155476
57,Software quality assurance tester,155000.0,Entry,Boulder,Colorado,66472.0,28.32,80.83,5740.88,15.16,118.7,56000.0,2607.24,50976.0,56716.88,211716.88,69079.24,0.3262812110210579
58,Accountant,45000.0,Entry,Westlake,Louisiana,40351.984,19.57,80.83,3973.93,11.7,88.6,45544.0,2233.56,35226.0,39199.93,84199.93,42585.543999999994,0.5057669762908353
59,Accountant,54000.0,Entry,Lincoln,Nebraska,43130.168,20.58,80.83,3710.21,10.78,94.7,45544.0,2134.2,37043.99999999999,40754.20999999999,94754.21,45264.367999999995,0.4777029748862874
60,Accountant,56000.0,Entry,Chapel Hill,North Carolina,41827.6096,29.56,80.83,4979.85,13.49,91.84,45544.0,2426.88,53208.0,58187.85,114187.85,44254.48959999999,0.3875586553210345
61,Accountant,65000.0,Entry,Washington,District of Columbia,54698.344,52.54,80.83,7073.12,20.269186534216335,120.1,45544.0,3159.0321456953643,94572.0,101645.12,166645.12,57857.376145695365,0.3471891414863836
62,Accountant,65000.0,Entry,Richfield,Ohio,40443.072,20.56,80.83,4054.52,15.98,88.8,45544.0,2695.8,37008.0,41062.52,106062.52,43138.872,0.4067305962558687
63,Accountant,96000.0,Entry,Des Moines,Iowa,41763.848000000005,25.08,75.86,3640.73,12.43,91.7,45544.0,2252.76,45143.99999999999,48784.73,144784.72999999998,44016.60800000001,0.3040141595042517
64,Accountant,57000.0,Entry,Mayetta,Kansas,39782.684,22.91,80.83,4429.11,13.85,87.35,45544.0,2465.76,41238.0,45667.11,102667.11,42248.444,0.4115090412109584
65,Accountant,127500.0,Entry,Raleigh,North Carolina,45407.367999999995,31.68,80.83,5262.66,13.49,99.7,45544.0,2426.88,57024.0,62286.66,189786.66,47834.24799999999,0.2520422035985036
66,Accountant,27000.0,Entry,Industry,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,106540.89,61540.94,0.5776274254889368
67,Accountant,52500.0,Entry,Middletown,Pennsylvania,42560.867999999995,28.6,84.33,6024.26,17.6,93.45,45544.0,2912.76,51480.0,57504.26,110004.26,45473.628,0.4133806090782301
68,Accountant,70000.0,Entry,Rochester,New York,43995.50399999999,21.48,80.83,3519.92,24.37,96.6,45544.0,3601.92,38664.0,42183.92,112183.92,47597.42399999999,0.4242802711832497
69,Accountant,31500.0,Entry,Tacoma,Washington,48741.1888,27.12,80.83,7045.22,11.83,107.02,45544.0,2247.6000000000004,48816.0,55861.22,87361.22,50988.788799999995,0.5836547246020602
70,Accountant,55500.0,Entry,Morrisville,North Carolina,41827.6096,29.77,80.83,4979.85,13.49,91.84,45544.0,2426.88,53586.0,58565.85,114065.85,44254.48959999999,0.3879731716372603
71,Accountant,60000.0,Entry,Lexington Park,Maryland,46054.092800000006,26.17,75.44,6001.22,18.15,101.12,45544.0,2865.4799999999996,47106.00000000001,53107.22000000001,113107.22,48919.57280000001,0.4325061901441836
72,Accountant,48500.0,Entry,Saint Peters,Missouri,39973.9688,21.59,72.8,3937.23,11.57,87.77,45544.0,2123.16,38862.0,42799.23,91299.23,42097.128800000006,0.4610896367910222
73,Accountant,69500.0,Entry,Tysons Corner,Virginia,43134.72239999999,28.91,86.7,5590.44,14.46,94.71,45544.0,2602.08,52038.0,57628.44,127128.44,45736.80239999999,0.3597684546431938
74,Accountant,54500.0,Entry,Baltimore,Maryland,48732.08,26.17,75.44,6001.22,18.15,107.0,45544.0,2865.4799999999996,47106.00000000001,53107.22000000001,107607.22,51597.56,0.4794990522011441
75,Accountant,25000.0,Entry,Las Vegas,Nevada,45862.808,30.23,80.83,5392.82,14.88,100.7,45544.0,2577.0,54414.0,59806.82,84806.82,48439.808,0.5711782142049424
76,Accountant,61000.0,Entry,Troy,Michigan,40916.7296,19.87,80.83,3880.78,18.41,89.84,45544.0,2958.24,35766.0,39646.78,100646.78,43874.9696,0.4359301867382145
77,Accountant,88000.0,Entry,San Francisco,California,81341.58399999999,62.2,80.83,12650.66,30.55,178.6,45544.0,4269.360000000001,111960.0,124610.66,212610.66,85610.94399999999,0.4026653414273771
78,Accountant,58000.0,Entry,Vonore,Tennessee,41167.2216,27.17,80.83,4096.03,13.04,90.39,45544.0,2378.2799999999997,48906.00000000001,53002.030000000006,111002.03,43545.5016,0.3922946418187127
79,Accountant,66500.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,137739.74,61898.24,0.4493854859897369
80,Accountant,70000.0,Entry,Irvine,California,57271.58,34.67,80.83,9010.54,30.55,125.75,45544.0,4269.360000000001,62406.0,71416.54000000001,141416.54,61540.94,0.435174980239228
81,Accountant,65500.0,Entry,Columbia,Maryland,46054.092800000006,25.01,75.44,6001.22,18.15,101.12,45544.0,2865.4799999999996,45018.00000000001,51019.22000000001,116519.22,48919.57280000001,0.4198412313436359
82,Accountant,57500.0,Entry,Longmont,Colorado,49324.152,22.57,80.83,5740.88,15.16,108.3,45544.0,2607.24,40626.0,46366.88,103866.88,51931.392,0.4999802824538485
83,Accountant,51000.0,Entry,Little Rock,Arkansas,40078.72,19.74,80.01,3854.67,11.74,88.0,45544.0,2228.04,35531.99999999999,39386.66999999999,90386.66999999998,42306.76,0.4680641514949052
84,Accountant,29600.0,Entry,Middlebury,Vermont,52079.56399999999,36.46,82.78,7073.12,22.29,114.35,45544.0,3400.6800000000003,65628.0,72701.12,102301.12,55480.24399999999,0.5423229383998923
85,Accountant,52500.0,Entry,Douglas,Georgia,41854.936,23.66,80.83,5285.46,13.49,91.9,45544.0,2426.88,42588.0,47873.46,100373.46,44281.816,0.4411705644101538
86,Accountant,64000.0,Entry,Randolph,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,128201.16,50190.89600000001,0.3915011065422497
87,Accountant,57000.0,Entry,Dayton,Ohio,40260.896,18.88,80.83,4054.52,15.98,88.4,45544.0,2695.8,33984.0,38038.52,95038.52,42956.696,0.4519924763138147
88,Accountant,73000.0,Entry,Hasbrouck Heights,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,137201.16,50190.89600000001,0.3658197642060752
89,Accountant,80000.0,Entry,Auburn,Alabama,41854.936,20.67,74.1,4021.31,14.91,91.9,45544.0,2499.48,37206.00000000001,41227.310000000005,121227.31,44354.416000000005,0.3658780847318975
90,Accountant,80000.0,Entry,Galena,Kansas,39782.684,22.91,80.83,4429.11,13.85,87.35,45544.0,2465.76,41238.0,45667.11,125667.11,42248.444,0.3361933285487348
91,Accountant,51500.0,Entry,Farmington,Utah,45525.7824,24.79,69.01,4143.37,11.02,99.96,45544.0,2018.28,44622.0,48765.37,100265.37,47544.062399999995,0.4741822864664041
92,Accountant,53000.0,Entry,Savannah,Georgia,44314.312000000005,23.66,80.83,5285.46,13.49,97.3,45544.0,2426.88,42588.0,47873.46,100873.46,46741.192,0.4633646154300646
93,Accountant,49500.0,Entry,Bensenville,Illinois,40106.0464,15.02,80.83,7041.83,15.99,88.06,45544.0,2696.88,27036.0,34077.83,83577.83,42802.9264,0.5121325404117335
94,Accountant,58500.0,Entry,Charlotte,North Carolina,44587.57600000001,33.02,80.83,5658.26,13.49,97.9,45544.0,2426.88,59436.000000000015,65094.26000000002,123594.26,47014.456000000006,0.380393523129634
95,Accountant,59500.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,130739.74,61898.24,0.4734462528378899
96,Accountant,55000.0,Entry,Austin,Texas,48549.903999999995,41.81,80.83,6365.46,15.32,106.6,45544.0,2624.52,75258.0,81623.46,136623.46000000002,51174.42399999999,0.3745654223659683
97,Accountant,64000.0,Entry,Seguin,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,118561.54,44092.331999999995,0.3718940560319981
98,Accountant,49500.0,Entry,Ruston,Louisiana,40351.984,19.57,80.83,3973.93,11.7,88.6,45544.0,2233.56,35226.0,39199.93,88699.93,42585.543999999994,0.480107977537299
99,Accountant,29680.0,Entry,Stockton,California,51737.984,21.3,80.83,6599.67,30.55,113.6,45544.0,4269.360000000001,38340.0,44939.67,74619.67,56007.344,0.7505707811358586
100,Accountant,56500.0,Entry,Houston,Texas,43631.152,31.12,80.83,5245.46,15.32,95.8,45544.0,2624.52,56016.0,61261.46,117761.46,46255.672,0.3927912578529512
101,Accountant,51000.0,Entry,Brownsville,Texas,39987.632,27.45,80.83,3140.07,15.32,87.8,45544.0,2624.52,49410.0,52550.07,103550.07,42612.151999999995,0.4115125368819161
102,Accountant,21259.999999999996,Entry,Mount Kisco,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,88426.4,47797.8176,0.540537866519501
103,Accountant,65000.0,Entry,Mechanicsburg,Pennsylvania,42560.867999999995,23.31,84.33,6024.26,17.6,93.45,45544.0,2912.76,41958.0,47982.26,112982.26,45473.628,0.4024846732575538
104,Accountant,64500.0,Entry,Fredericksburg,Virginia,43134.72239999999,30.5,86.7,5590.44,14.46,94.71,45544.0,2602.08,54900.0,60490.44,124990.44,45736.80239999999,0.3659224049455302
105,Accountant,32750.0,Entry,Aberdeen,Washington,44450.944,31.45,80.83,6659.49,11.83,97.6,45544.0,2247.6000000000004,56610.0,63269.49,96019.49,46698.543999999994,0.4863444286154821
106,Accountant,52500.0,Entry,Benbrook,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,107061.54,44092.331999999995,0.411841002847521
107,Accountant,74000.0,Entry,Troy,Ohio,40443.072,20.56,80.83,4054.52,15.98,88.8,45544.0,2695.8,37008.0,41062.52,115062.52,43138.872,0.3749168017526472
108,Accountant,125000.0,Entry,Dublin,California,57271.58,40.28,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,72504.0,79540.89,204540.89,61540.94,0.3008735319377949
109,Accountant,55000.0,Entry,New York,New York,58296.32,33.56,80.83,10831.74,24.37,128.0,45544.0,3601.92,60408.0,71239.74,126239.74,61898.24,0.4903229363431832
110,Accountant,25000.0,Entry,San Rafael,California,57271.58,42.56,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,76608.0,83644.89,108644.89,61540.94,0.5664411828296757
111,Accountant,27000.0,Entry,San Diego,California,62030.928,41.6,80.83,6210.03,30.55,136.2,45544.0,4269.360000000001,74880.0,81090.03,108090.03,66300.288,0.6133802349763433
112,Accountant,67500.0,Entry,Little Rock,Arkansas,40078.72,19.74,80.01,3854.67,11.74,88.0,45544.0,2228.04,35531.99999999999,39386.66999999999,106886.66999999998,42306.76,0.395809505525806
113,Accountant,4000.0,Entry,Terrell,Texas,41467.812,27.45,80.83,5151.54,15.32,91.05,45544.0,2624.52,49410.0,54561.54,58561.54,44092.331999999995,0.7529230276389588
114,Accountant,64000.0,Entry,Richmond,Virginia,45179.648,23.34,86.7,4570.38,14.46,99.2,45544.0,2602.08,42012.0,46582.38,110582.38,47781.728,0.4320916948975054
115,Accountant,65000.0,Entry,Great River,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,132166.4,47797.8176,0.3616487821413007
116,Accountant,34295.0,Entry,Los Gatos,California,57271.58,44.61,80.83,7036.89,30.55,125.75,45544.0,4269.360000000001,80298.0,87334.89,121629.89,61540.94,0.5059688864307943
117,Accountant,65000.0,Entry,Reston,Virginia,43134.72239999999,30.21,86.7,5590.44,14.46,94.71,45544.0,2602.08,54378.0,59968.44,124968.44,45736.80239999999,0.3659868235532106
118,Accountant,5000.0,Entry,Nashville,Tennessee,45589.543999999994,30.46,80.83,5088.14,13.04,100.1,45544.0,2378.2799999999997,54828.0,59916.14,64916.14,47967.82399999999,0.7389198433548266
119,Accountant,72500.0,Entry,Brookfield,Wisconsin,41608.9984,19.71,80.83,4333.44,16.31,91.36,45544.0,2731.4399999999996,35478.0,39811.44,112311.44,44340.4384,0.3947989483529015
120,Accountant,65000.0,Entry,Hyattsville,Maryland,46054.092800000006,25.19,75.44,6001.22,18.15,101.12,45544.0,2865.4799999999996,45342.0,51343.22,116343.22,48919.57280000001,0.4204763526400594
121,Accountant,130000.0,Entry,Seattle,Washington,56747.82399999999,43.13,80.83,10361.54,11.83,124.6,45544.0,2247.6000000000004,77634.0,87995.54000000001,217995.54,58995.42399999999,0.2706267476848379
122,Accountant,73000.0,Entry,Portland,Maine,51464.72,19.13,80.83,7073.12,26.29,113.0,45544.0,3809.28,34434.0,41507.12,114507.12,55274.0,0.4827123413810425
123,Accountant,54000.0,Entry,Denver,Colorado,51054.82399999999,36.45,80.83,6740.21,15.16,112.1,45544.0,2607.24,65610.0,72350.21,126350.21,53662.06399999999,0.4247089419162816
124,Accountant,75500.0,Entry,Gainesville,Florida,44314.312000000005,31.24,83.25,4977.02,14.2,97.3,45544.0,2532.6,56232.0,61209.02,136709.02000000002,46846.912,0.3426760867717433
125,Accountant,60500.0,Entry,Austin,Texas,48549.903999999995,41.81,80.83,6365.46,15.32,106.6,45544.0,2624.52,75258.0,81623.46,142123.46000000002,51174.42399999999,0.3600702093799291
126,Accountant,53500.0,Entry,Buffalo,New York,44314.312000000005,19.21,80.83,4174.42,24.37,97.3,45544.0,3601.92,34578.0,38752.42,92252.42,47916.232,0.5194035235064837
127,Accountant,84000.0,Entry,Scottsdale,Arizona,45721.6216,33.08,75.34,6794.99,15.2,100.39,45544.0,2545.68,59544.0,66338.99,150338.99,48267.3016,0.3210564445058464
128,Accountant,27000.0,Entry,Milwaukee,Wisconsin,42720.272,23.29,80.83,3992.97,16.31,93.8,45544.0,2731.4399999999996,41922.0,45914.97,72914.97,45451.71200000001,0.623352269088227
129,Accountant,32439.999999999996,Entry,Aurora,Illinois,40106.0464,22.7,80.83,5763.98,15.99,88.06,45544.0,2696.88,40860.0,46623.98,79063.98,42802.9264,0.541370753154597
130,Accountant,46500.0,Entry,Geneva,New York,44195.8976,33.56,80.83,6758.4,24.37,97.04,45544.0,3601.92,60408.0,67166.4,113666.4,47797.8176,0.42050964577043
131,Accountant,56500.0,Entry,Newport News,Virginia,43134.72239999999,18.48,86.7,4082.0,14.46,94.71,45544.0,2602.08,33264.0,37346.0,93846.0,45736.80239999999,0.4873601687871619
132,Accountant,72500.0,Entry,Fort Morgan,Colorado,49324.152,25.38,80.83,5740.88,15.16,108.3,45544.0,2607.24,45684.0,51424.88,123924.88,51931.392,0.4190554148610029
133,Accountant,23250.0,Entry,Denver,Colorado,51054.82399999999,36.45,80.83,6740.21,15.16,112.1,45544.0,2607.24,65610.0,72350.21,95600.21,53662.06399999999,0.561317428068411
134,Accountant,98000.0,Entry,Covington,Louisiana,40351.984,19.57,80.83,3973.93,11.7,88.6,45544.0,2233.56,35226.0,39199.93,137199.93,42585.543999999994,0.3103904207531301
135,Accountant,67500.0,Entry,Ramsey,Minnesota,44683.2184,25.42,68.66,5231.86,14.05,98.11,45544.0,2341.32,45756.00000000001,50987.86000000001,118487.86000000002,47024.5384,0.3968722061483766
136,Accountant,68500.0,Entry,Dallas,Texas,44860.84,26.83,80.83,5360.48,15.32,98.5,45544.0,2624.52,48293.99999999999,53654.48,122154.48,47485.35999999999,0.388732038317383
137,Accountant,93000.0,Entry,Walker,Michigan,40916.7296,21.42,80.83,3880.78,18.41,89.84,45544.0,2958.24,38556.00000000001,42436.780000000006,135436.78,43874.9696,0.3239516592169423
138,Accountant,48480.0,Entry,Santa Rosa,California,64535.848,27.11,80.83,6403.12,30.55,141.7,45544.0,4269.360000000001,48798.0,55201.12,103681.12,68805.208,0.6636233096247417
139,Accountant,67500.0,Entry,Pennsauken,New Jersey,47092.49600000001,31.19,82.79,8059.16,19.49,103.4,45544.0,3098.4,56142.0,64201.16,131701.16,50190.89600000001,0.3810968407567557
140,Accountant,52000.0,Entry,Reading,Pennsylvania,43722.24,28.6,84.33,6024.26,17.6,96.0,45544.0,2912.76,51480.0,57504.26,109504.26,46635.0,0.4258738427162559
