Job Title,Location,Pay,Average Salary
IT SPECIALIST (CUSTSPT),"McConnell AFB, Kansas",$74532.0 - $96887.0,85709.5
INTELLIGENCE SPECIALIST,"Quantico, Virginia",$126382.0 - $164296.0,145339
BUDGET ANALYST (TITLE 32),"Springfield, Illinois",$61111.0 - $79443.0,70277
Management Analyst,"Washington, District of Columbia",$101401.0 - $156755.0,129078
FUTURE CAPABILITIES ANALYST,"Fort Meade, Maryland",$142488.0 - $195200.0,168844
ENGINEER/SCIENTIST,"Dahlgren, Virginia",$142488.0 - $195200.0,168844
Management and Program Analyst,"Battle Creek, Michigan",$73939.0 - $96116.0,85027.5
"Program Analyst, Healthcare Compliance (O-4 Billet) Non-Supervisory","Washington, District of Columbia",$1.0 - $150000.0,75000.5
COMMAND PROGRAM SUPPORT SPECIALIST,"Helena, Montana",$73939.0 - $96116.0,85027.5
Management Assistant (Office Automation),"Fort Riley, Kansas",$44959.0 - $58445.0,51702
IT SPECIALIST (CUSTOMER SUPPORT),"New Castle, Delaware",$67339.0 - $105911.0,86625
IT SPECIALIST (NETWORK),"New Castle, Delaware",$97653.0 - $126955.0,112304
Supply Systems Analyst,"Battle Creek, Michigan",$88621.0 - $115213.0,101917
Intelligence Specialist (S&T Analyst),"Charlottesville, Virginia",$105383.0 - $170870.0,138126.5
BUDGET ANALYST,"Scott AFB, Illinois",$75815.0 - $118136.0,96975.5
PROGRAM ANALYST,"Naval Shipyard, Portsmouth, Virginia",$106950.0 - $139036.0,122993
Operations Research Analyst (PUBLIC NOTICE),"Gunter AFB, Alabama",$49025.0 - $90647.0,69836
Management and Program Analyst (Labor Management Relations),"Washington, District of Columbia",$99297.0 - $157820.0,128558.5
Intelligence Operations Specialist,"Louisville, Kentucky",$88621.0 - $115213.0,101917
Intelligence Operations Specialist,"Louisville, Kentucky",$88621.0 - $115213.0,101917
ENGINEER/SCIENTIST,"Dahlgren, Virginia",$61933.0 - $153354.0,107643.5
SUPV IT SPECIALIST (PLCYPLN) (TITLE 32),"Tyndall AFB, Florida",$105383.0 - $137000.0,121191.5
IT SPECIALIST (NETWORK) (TITLE 5),"Tyndall AFB, Florida",$88621.0 - $115213.0,101917
FINANCIAL MANAGEMENT ANALYST (TITLE 32),"Scott AFB, Illinois",$51228.0 - $81458.0,66343
Program Analyst (Title 32) (Permanent),"Richmond, Virginia",$63836.0 - $82985.0,73410.5
ACCOUNTING TECHNICIAN,"Maxwell AFB, Alabama",$44959.0 - $58445.0,51702
Project Manager (Interdisciplinary),"Chicago, Illinois",$88621.0 - $137000.0,112810.5
ENGINEER/SCIENTIST,"Dahlgren, Virginia",$82764.0 - $153354.0,118059
IT SPEC (INFOSEC),"Eastover, South Carolina",$73939.0 - $96116.0,85027.5
Program Analyst (Intake Coordinator),"District of Columbia, District of Columbia",$69923.0 - $109975.0,89949
FINANCIAL MANAGEMENT ANALYST,"Forbes AFB, Kansas",$50775.0 - $97684.0,74229.5
Business Analyst,"New Cumberland Defense Logistics Center, Pennsylvania",$69923.0 - $109975.0,89949
INTELLIGENCE OPERATIONS SPECIALIST (TITLE 32),"Peoria, Illinois",$88621.0 - $115213.0,101917
Procurement Analyst,"Fort Cavazos, Texas",$88621.0 - $137000.0,112810.5
IT SPECIALIST (SYSTEMS ADMINISTRATION),"Columbus, Ohio",$77154.0 - $100295.0,88724.5
Supervisory Health Systems Specialist,"Topeka, Kansas",$90067.0 - $117093.0,103580
Management Analyst (Manpower Planning),"Fort Belvoir, Virginia",$101401.0 - $156755.0,129078
Management and Program Analyst,"Fort Belvoir, Virginia",$69923.0 - $90898.0,80410.5
