Job Title,Location,Pay,Average Salary
Electrical Engineer,"Rock Island, Illinois",$73696.0 - $114827.0,94261.5
Biomedical Equipment Support Specialist (Information Systems),"White River Junction, Vermont",$100371.0 - $130488.0,115429.5
Biomedical Equipment Support Specialist (Information Systems),"White River Junction, Vermont",$100371.0 - $130488.0,115429.5
IT SPECIALIST (INFOSEC),"Patuxent River, Maryland",$99200.0 - $153354.0,126277
INFORMATION TECHNOLOGY SPECIALIST,"Washington Navy Yard, District of Columbia",$101401.0 - $156755.0,129078
SUPV IT CYBER SECURITY SPEC (INFOSEC) DIRECT HIRE,"Elizabeth City, North Carolina",$106950.0 - $139036.0,122993
IT SPEC (INFOSEC),"Eastover, South Carolina",$73939.0 - $96116.0,85027.5
Electrical Engineer (Open and Continuous),"Baltimore, Maryland",$117962.0 - $153354.0,135658
Program Manager - Mid Level (Maryland),"Fort Meade, Maryland",$84601.0 - $131826.0,108213.5
IT SPECIALIST (INFOSEC),"Rock Island, Illinois",$75120.0 - $102657.0,88888.5
IT SPECIALIST (SYSADMIN),"China Lake, California",$69729.0 - $131452.0,100590.5
Supervisory IT Specialist (SYSANALYSIS/INFOSEC),"Battle Creek, Michigan",$124531.0 - $185234.0,154882.5
Supervisory IT Specialist (SYSADMIN/INFOSEC),"Battle Creek, Michigan",$105383.0 - $156755.0,131069
IT Specialist  (SYSADMIN/INFOSEC),"Battle Creek, Michigan",$88621.0 - $131826.0,110223.5
IT SPECIALIST (INFOSEC),"Dam Neck Naval Facility, Virginia Beach, Virginia",$126382.0 - $164296.0,145339
IT SPECIALIST (POLICY AND PLANNING/PLCYPLN),"Pentagon, Arlington, Virginia",$142488.0 - $185234.0,163861
IT Specialist (SYSANALYSIS),"Battle Creek, Michigan",$105383.0 - $156755.0,131069
SUPERVISORY IT SPECIALIST (PLCYPLN),"Annapolis, Maryland",$167603.0 - $195200.0,181401.5
OPERATIONS RESEARCH ANALYST,"Pentagon, Arlington, Virginia",$142488.0 - $185234.0,163861
INTERDISCIPLINARY-COMP ENG/ELEC ENG/OPS RESEARCH/COM SCIENTIST,"Lackland AFB, Texas",$131437.0 - $170870.0,151153.5
SUPERVISORY IT SPECIALIST (PLCYPLN)- DIRECT HIRE AUTHORITY,"Edwards AFB, California",$145180.0 - $195200.0,170190
SUPERVISORY OPERATIONS PROGRAM MANAGER,"Camp H.M. Smith Marine Corp Base, Hawaii",$130009.0 - $169012.0,149510.5
TELECOMMUNICATIONS SPECIALIST,"Pearl Harbor, Hawaii",$110020.0 - $143027.0,126523.5
TRAINING SPECIALIST (COURSE MANAGER),"Linthicum, Maryland",$108957.0 - $156755.0,132856
IT SPECIALIST (INFOSEC),"Honolulu, Hawaii",$130009.0 - $169012.0,149510.5
IT SPECIALIST (INFOSEC),"China Lake, California",$69729.0 - $99821.0,84775
UNIT PROGRAM COORDINATOR,"Scott AFB, Illinois",$41355.0 - $66600.0,53977.5
IT SPECIALIST (NETWORK),"Fort Meade, Maryland",$101401.0 - $131826.0,116613.5
Supervisory Biomedical Engineer (Clinical),"Fresno, California",$130536.0 - $169699.0,150117.5
IT SPECIALIST (INFOSEC),"Twentynine Palms, California",$103316.0 - $134317.0,118816.5
LOGISTICS MANAGEMENT SPECIALIST,"Pentagon, Arlington, Virginia",$142488.0 - $185234.0,163861
Principal Systems Engineer #5480,"Washington DC, District of Columbia",$126372.0 - $175868.0,151120
UNIT PROGRAM COORDINATOR,"Shaw AFB, South Carolina",$49960.0 - $64952.0,57456
Senior IT Specialist (Data Loss Prevention Security Engineer),"Washington, District of Columbia",$120579.0 - $185234.0,152906.5
Attorney (Government Contracts),"San Francisco, California",$129280.0 - $196180.0,162730
Public Notice - Police Officer - Recruitment Incentive - Relocation Incentive,"Adams County, Pennsylvania",$68918.0 - $126434.0,97676
Biomedical Equipment Support Specialist (Information Systems),"Amarillo, Texas",$96773.0 - $125801.0,111287
Information Technology Specialist (Security),"Fort Drum, New York",$74532.0 - $101855.0,88193.5
