,Keyword,Job_title,Company,City,State,Mean_Salary,Job_type,Rent Q4 2024,Vacancy Q4 2024,Median Monthly Rent,Electricity Price (cents per kWh),Internet Speed (Mbps),Average internet monthly payment,Annual Commute Cost,Remote Salary (Annual),In-Office Salary (Annual),Remote Work Expenses,In-Office Expenses,Total In-office salary,Total Remote salary
56,software developer,Web Developer,YSI,College Park,Maryland,125.0,Remote,26.7,,"$1,415.00",17.6,506.7,75.44,6001.22,125.0,125.0,2806.08,54061.22,54186.22,2931.08
57,software developer,"Senior Full Stack Engineer (React, Javascript)",Recorded Future,Somerville,Massachusetts,124.5,Remote,53.3,,"$1,336.00",29.25,401.2,93.6,8589.18,124.5,124.5,4282.2,104529.18,104653.68,4406.7
58,software developer,Developer,Black Owl Recruiting,New York,New York,35.0,Remote,19.1,,,,,,10831.74,35.0,35.0,,45211.74,45246.74,35.0
59,software developer,Senior Full Stack Developer,Creative Mines,Hancock,Michigan,90.0,Remote,21.5,,,,,,4267.32,90.0,90.0,,42967.32,43057.32,90.0
60,software developer,Senior Software Engineer (REMOTE),Home Depot / THD,Atlanta,Georgia,160.0,Remote,33.6,18.9%,,,,,7289.35,160.0,160.0,,67769.35,67929.35,160.0
61,software developer,Software Development Team Lead - Web,Uline,Waukegan,Illinois,140.5,Remote,27.3,,,,,,8130.368888888888,140.5,140.5,,57270.36888888889,57410.86888888889,140.5
62,software developer,"Software Engineer, New College Grad - 2025",Visa,Foster City,California,116.0,Remote,61.01875,,,,,,9701.970434782608,116.0,116.0,,119535.7204347826,119651.7204347826,116.0
63,software developer,Software Developer,Nextech,Melbourne,Florida,112.5,Remote,41.642857142857146,,"$1,218.00",15.28,322.3,83.25,4590.725714285714,112.5,112.5,2649.24,79547.86857142857,79660.36857142857,2761.74
64,software developer,"Software Developer, API",Spokeo,Pasadena,California,130.0,Remote,61.01875,,,,,,9701.970434782608,130.0,130.0,,119535.7204347826,119665.7204347826,130.0
65,software developer,Software Engineer II,Warner Bros. Discovery,New York,New York,142.0,Remote,19.1,,,,,,10831.74,142.0,142.0,,45211.74,45353.74,142.0
66,software developer,eCommerce Software Engineer - JavaScript (front OR back-end),CONVERSE,Atlanta,Georgia,90.5,Remote,33.6,18.9%,,,,,7289.35,90.5,90.5,,67769.35,67859.85,90.5
67,software developer,Software App Developer,Zymo Research,Irvine,California,85.0,Remote,61.01875,,,,,,9010.54,85.0,85.0,,118844.29000000001,118929.29000000001,85.0
68,software developer,Radar / Electronic Warfare Software Section Team Lead,Leidos,Huntsville,Alabama,119.5,Remote,,,$811.00,14.98,344.6,74.1,4951.76,119.5,119.5,2507.04,,119.5,2626.54
69,software developer,Software Developer,Oracle,Redwood City,California,151.0,Remote,61.01875,,,,,,9701.970434782608,151.0,151.0,,119535.7204347826,119686.7204347826,151.0
70,software developer,Backend Engineer (Remote),Alma,California,Unknown,6.5,Remote,,,,,,,,6.5,6.5,,,6.5,6.5
71,software developer,Software Engineers,CCC Information Services Inc.,Chicago,Illinois,89.0,Remote,27.3,18.8%,,,,,8319.68,89.0,89.0,,57459.68,57548.68,89.0
72,software developer,Associate Full Stack Web Developer,Dolby,Indianapolis,Indiana,102.0,Remote,23.3,20.1%,,,,,4670.34,102.0,102.0,,46610.34,46712.34,102.0
73,software developer,Software Developer,Ascend Federal Credit Union,Murfreesboro,Tennessee,73.5,Remote,19.6,,,,,,3672.115,73.5,73.5,,38952.115,39025.615,73.5
74,software developer,Software Engineer,DocuSign,Chicago,Illinois,122.5,Remote,27.3,18.8%,,,,,8319.68,122.5,122.5,,57459.68,57582.18,122.5
75,software developer,FULL STACK DEVELOPER (BUREAU OF TECHNOLOGY) - ACTIVELY RECRUITED,Cook County Offices Under the President,Chicago,Illinois,103.0,Remote,27.3,18.8%,,,,,8319.68,103.0,103.0,,57459.68,57562.68,103.0
76,software developer,Software Engineer I - Platforms Team,NIKE,Beaverton,Oregon,120.5,Remote,27.899999999999995,,"$1,173.00",14.23,316.9,72.27,6557.06,120.5,120.5,2404.08,56777.05999999998,56897.55999999998,2524.58
77,software developer,.NET Developer - Associate,Independent Health,Buffalo,New York,77.5,Remote,19.1,,,,,,4174.42,77.5,77.5,,38554.42,38631.92,77.5
78,software developer,"Associate, Full Stack Engineer",BlackRock Investments,Atlanta,Georgia,117.5,Remote,33.6,18.9%,,,,,7289.35,117.5,117.5,,67769.35,67886.85,117.5
79,software developer,Junior Software Developer,Delmarva Digital,Laurel,Delaware,,Remote,,,"$1,150.00",15.73,469.7,80.66,,,,2666.7599999999998,,,
80,software developer,"AI/ML Software Developer Intermediate (Software Engineering, Senior Analyst)",The MIL Corporation,Lexington Park,Maryland,115.0,Remote,26.7,,"$1,415.00",17.6,506.7,75.44,6001.22,115.0,115.0,2806.08,54061.22,54176.22,2921.08
81,software developer,ROS2 Software Engineer,"Savoye North America, Inc.",Aurora,Illinois,105.5,Remote,27.3,,,,,,5763.98,105.5,105.5,,54903.979999999996,55009.479999999996,105.5
82,software developer,Software Developer,Thrive,Louisville,Kentucky,94.5,Remote,19.6,12.0%,$783.00,12.48,261.8,79.56,,94.5,94.5,2302.56,,94.5,2397.06
83,software developer,"Software Engineer (L5), Ads Measurement",Netflix,New York,New York,410.0,Remote,19.1,,,,,,10831.74,410.0,410.0,,45211.74,45621.74,410.0
84,software developer,Entry Level Computer/Software Engineer,Naval Nuclear Laboratory,West Mifflin,Pennsylvania,78.5,Remote,28.744444444444444,,$958.00,17.02,430.8,84.33,5933.278888888889,78.5,78.5,2850.12,57673.27888888889,57751.77888888889,2928.62
85,software developer,Senior Software Engineer,Rebrandly,United States,Unknown,,Remote,,,,,,,,,,,,,
86,software developer,DevOps Software Engineering Lead,Ace Hardware Corporation,Oak Brook,Illinois,113.5,Remote,27.3,,,,,,8130.368888888888,113.5,113.5,,57270.36888888889,57383.86888888889,113.5
87,software developer,Jr. Software Developer - C#,Siemens,Grand Prairie,Texas,91.5,Remote,40.717857142857156,,,,,,5348.94,91.5,91.5,,78641.08285714289,78732.58285714289,91.5
88,software developer,Software Engineer ll,Hertz,San Francisco,California,135.0,Remote,70.6,28.8%,,,,,12650.66,135.0,135.0,,139730.66,139865.66,135.0
89,software developer,Software Developer,UCLA,Los Angeles,California,117.5,Remote,42.4,16.0%,,,,,6877.72,117.5,117.5,,83197.72,83315.22,117.5
90,software developer,Senior Software Engineer (Remote),Home Depot / THD,Atlanta,Georgia,153.5,Remote,33.6,18.9%,,,,,7289.35,153.5,153.5,,67769.35,67922.85,153.5
91,software developer,JUNIOR .NET DEVELOPER,LeverX Group,Georgia,Unknown,,Remote,,,,,,,,,,,,,
92,software developer,Associate Software Engineer,UKG,Santa Ana,California,101.0,Remote,61.01875,,,,,,4314.88,101.0,101.0,,114148.63,114249.63,101.0
93,software developer,Backend Engineer - Epiq AI Labs,"Epiq Systems, Inc.",New York,New York,101.0,Remote,19.1,,,,,,10831.74,101.0,101.0,,45211.74,45312.74,101.0
94,software developer,Experienced Software Developer,Naval Nuclear Laboratory,West Mifflin,Pennsylvania,107.5,Remote,28.744444444444444,,$958.00,17.02,430.8,84.33,5933.278888888889,107.5,107.5,2850.12,57673.27888888889,57780.77888888889,2957.62
95,software developer,Entry Level Computer/Software Engineer,Naval Nuclear Laboratory,Niskayuna,New York,78.5,Remote,19.1,,,,,,10428.26606060606,78.5,78.5,,44808.26606060606,44886.76606060606,78.5
96,software developer,Data science software developer,Solventum,Murray,Utah,152.5,Remote,26.0,,"$1,090.00",10.99,314.1,69.01,4143.37,152.5,152.5,2015.0400000000002,50943.37,51095.87,2167.54
97,software developer,Senior Software Development Engineer,Delta Airlines,Atlanta,Georgia,132.0,Remote,33.6,18.9%,,,,,7289.35,132.0,132.0,,67769.35,67901.35,132.0
98,software developer,"Software Engineer, Document Systems",Tesla,Fremont,California,155.5,Remote,61.01875,,,,,,12048.32,155.5,155.5,,121882.07,122037.57,155.5
99,software developer,Software Developer,Quinnox,Chicago,Illinois,149.0,Remote,27.3,18.8%,,,,,8319.68,149.0,149.0,,57459.68,57608.68,149.0
100,software developer,Experienced Software Engineer Java / Python (Full Stack or Back End),JPMorganChase,Columbus,Ohio,,Remote,21.7,15.5%,,,,,4562.82,,,,43622.82,,
101,software developer,Software Engineer II,Microsoft,United States,Unknown,153.5,Remote,,,,,,,,153.5,153.5,,,153.5,153.5
102,software developer,Software Engineer II - Frontend,kraken,United States,Unknown,143.0,Remote,,,,,,,,143.0,143.0,,,143.0,143.0
103,software developer,Full Stack Java Software Engineer - Remote,"Kunz, Leigh & Associates",Remote,Unknown,95.0,Remote,,,,,,,,95.0,95.0,,,95.0,95.0
104,software developer,Full Stack Developer,Dartmouth College,Hanover,New Hampshire,129.5,Remote,,,,,,,,129.5,129.5,,,129.5,129.5
105,software developer,Front-End Web Developer,University of Virginia,Charlottesville,Virginia,75.0,Remote,,,"$1,257.00",13.97,505.6,86.7,,75.0,75.0,2549.16,,75.0,2624.16
106,software developer,Software Developer - AI Trainer,DataAnnotation,Chicago,Illinois,20.0,Remote,27.3,18.8%,,,,,8319.68,20.0,20.0,,57459.68,57479.68,20.0
107,software developer,Backend Software Engineer - AI Trainer,DataAnnotation,Chicago,Illinois,20.0,Remote,27.3,18.8%,,,,,8319.68,20.0,20.0,,57459.68,57479.68,20.0
108,software developer,Entry/Mid Level Software Engineer - Gosu/Guidewire/Java,State Farm,United States,Unknown,149.0,Remote,,,,,,,,149.0,149.0,,,149.0,149.0
109,software developer,Software Engineer II,Disney Entertainment & ESPN Technology,San Francisco,California,147.5,Remote,70.6,28.8%,,,,,12650.66,147.5,147.5,,139730.66,139878.16,147.5
110,software developer,Sr. Robotics Software Engineer,"Myomo, Inc",Boston,Massachusetts,129.5,Remote,53.3,17.0%,"$1,336.00",29.25,401.2,93.6,8589.18,129.5,129.5,4282.2,104529.18,104658.68,4411.7
111,software developer,Developer (Associate),Sumitomo Mitsui Banking Corporation,Jersey City,New Jersey,127.5,Remote,,,"$1,368.00",17.69,427.8,82.79,10903.23,127.5,127.5,2904.0,,127.5,3031.5
112,software developer,Software Engineer II,Redfin,Seattle,Washington,143.5,Remote,36.2,26.3%,,,,,10361.54,143.5,143.5,,75521.54000000001,75665.04000000001,143.5
113,software developer,Staff Software Engineer (Remote),Home Depot / THD,Atlanta,Georgia,177.5,Remote,33.6,18.9%,,,,,7289.35,177.5,177.5,,67769.35,67946.85,177.5
114,software developer,Software Developer - C++ Unix Linux,United Airlines,Chicago,Illinois,104.0,Remote,27.3,18.8%,,,,,8319.68,104.0,104.0,,57459.68,57563.68,104.0
115,software developer,Associate Software Development Engineer,Delta Airlines,Atlanta,Georgia,103.0,Remote,33.6,18.9%,,,,,7289.35,103.0,103.0,,67769.35,67872.35,103.0
116,software developer,"Programmer (C#, Vue.js, & APIs)",Benefit Allocation Systems,King of Prussia,Pennsylvania,87.0,Remote,28.744444444444444,,$958.00,17.02,430.8,84.33,5933.278888888889,87.0,87.0,2850.12,57673.27888888889,57760.27888888889,2937.12
117,software developer,"Senior Associate, Back-End Engineer",BNY,Pittsburgh,Pennsylvania,105.5,Remote,27.1,19.3%,$958.00,17.02,430.8,84.33,5205.47,105.5,105.5,2850.12,53985.47,54090.97,2955.62
118,software developer,Embedded Software Developer,Leidos,Huntsville,Alabama,119.5,Remote,,,$811.00,14.98,344.6,74.1,4951.76,119.5,119.5,2507.04,,119.5,2626.54
119,software developer,Firmware Developer – EC & UEFI Developer on Qualcomm ARM Platforms,Quest Global,Houston,Texas,102.5,Remote,30.2,24.5%,,,,,5245.46,102.5,102.5,,59605.46,59707.96,102.5
120,software developer,Software Engineer II,Warner Bros. Discovery,New York,New York,142.0,Remote,19.1,,,,,,10831.74,142.0,142.0,,45211.74,45353.74,142.0
121,software developer,Software Development Engineer- Data Engineer,Workday,Beaverton,Oregon,169.5,Remote,27.899999999999995,,"$1,173.00",14.23,316.9,72.27,6557.06,169.5,169.5,2404.08,56777.05999999998,56946.55999999998,2573.58
122,software developer,Front End Software Developer (JavaScript),CACI,Chantilly,Virginia,110.0,Remote,,,"$1,257.00",13.97,505.6,86.7,,110.0,110.0,2549.16,,110.0,2659.16
123,software developer,Senior Applications Developer,Victoria's Secret,Reynoldsburg,Ohio,144.5,Remote,21.699999999999996,,,,,,4562.82,144.5,144.5,,43622.81999999999,43767.31999999999,144.5
124,software developer,DevOps Engineer,"Milestone Systems, Inc.",United States,Unknown,144.5,Remote,,,,,,,,144.5,144.5,,,144.5,144.5
125,software developer,Software Developer,Oracle,Austin,Texas,120.0,Remote,45.7,27.9%,,,,,6365.46,120.0,120.0,,88625.46,88745.46,120.0
126,software developer,Senior Software Developer,Covius,Florida,Unknown,113.5,Remote,,,,,,,,113.5,113.5,,,113.5,113.5
127,software developer,AI Systems/Software Engineer,CACI,Virginia,Unknown,139.0,Remote,,,,,,,,139.0,139.0,,,139.0,139.0
128,software developer,Software Engineer,Chubb,Whitehouse Station,New Jersey,127.5,Remote,,,"$1,368.00",17.69,427.8,82.79,10903.23,127.5,127.5,2904.0,,127.5,3031.5
129,software developer,Software Engineer (Backend/Fullstack) - Early in Career,Splunk,Colorado,Unknown,141.5,Remote,,,,,,,,141.5,141.5,,,141.5,141.5
130,software developer,Software Engineer,DocuSign,Chicago,Illinois,155.5,Remote,27.3,18.8%,,,,,8319.68,155.5,155.5,,57459.68,57615.18,155.5
131,software developer,Software Engineer I IS,Providence,Portland,Oregon,,Remote,27.9,21.8%,"$1,173.00",14.23,316.9,72.27,6557.06,,,2404.08,56777.06,,
132,software developer,"Engineer/Sr Engineer, IT Software",American Airlines,Dallas,Texas,111.0,Remote,40.717857142857156,,,,,,5360.48,111.0,111.0,,78652.62285714288,78763.62285714288,111.0
133,software developer,Junior Developer,Uncharted USA,Remote,Unknown,70.0,Remote,,,,,,,,70.0,70.0,,,70.0,70.0
134,software developer,Software Developer,Oracle,Austin,Texas,123.0,Remote,45.7,27.9%,,,,,6365.46,123.0,123.0,,88625.46,88748.46,123.0
135,software developer,Software Development Engineer,Delta Airlines,Atlanta,Georgia,120.0,Remote,33.6,18.9%,,,,,7289.35,120.0,120.0,,67769.35,67889.35,120.0
136,software developer,Software Engineer II,JPMorganChase,Jersey City,New Jersey,134.5,Remote,,,"$1,368.00",17.69,427.8,82.79,10903.23,134.5,134.5,2904.0,,134.5,3038.5
137,software developer,Software Engineer,Northwestern Mutual,Milwaukee,Wisconsin,149.5,Remote,20.2,23.9%,,,,,3992.97,149.5,149.5,,40352.97,40502.47,149.5
138,software developer,Junior Computer Engineer - Software Developer,Battelle,Chantilly,Virginia,96.5,Remote,,,"$1,257.00",13.97,505.6,86.7,,96.5,96.5,2549.16,,96.5,2645.66
139,software developer,Cyber Software Engineer,CACI,Chantilly,Virginia,110.0,Remote,,,"$1,257.00",13.97,505.6,86.7,,110.0,110.0,2549.16,,110.0,2659.16
140,software developer,Full Stack Developer,ACA Group,Chattanooga,Tennessee,,Remote,19.6,,,,,,3677.76,,,,38957.76,,
141,software developer,Research Software Engineer I,Princeton University,Princeton,New Jersey,97.0,Remote,,,"$1,368.00",17.69,427.8,82.79,10903.23,97.0,97.0,2904.0,,97.0,3001.0
142,software developer,Back End Developer (Mid Level),Appfigures,New York,New York,125.0,Remote,19.1,,,,,,10831.74,125.0,125.0,,45211.74,45336.74,125.0
143,software developer,Senior Software Engineer,TP ICAP,New York,New York,147.5,Remote,19.1,,,,,,10831.74,147.5,147.5,,45211.74,45359.24,147.5
144,software developer,Senior Python/C++ Developer,Macquarie Group Limited,New York,New York,155.0,Remote,19.1,,,,,,10831.74,155.0,155.0,,45211.74,45366.74,155.0
145,software developer,Software Developer or Senior Software Developer,Savannah River Mission Completion,Aiken,South Carolina,108.0,Remote,,,$918.00,14.21,373.4,74.17,,108.0,108.0,2424.7200000000003,,108.0,2532.7200000000003
146,software developer,Software Developer,Oracle,United States,Unknown,,Remote,,,,,,,,,,,,,
147,software developer,Lead Front-End React Engineer,Bellwood Labs,Remote,Unknown,125.0,Remote,,,,,,,,125.0,125.0,,,125.0,125.0
148,software developer,Senior Software Engineer,Litera,North Carolina,Unknown,124.0,Remote,,,,,,,,124.0,124.0,,,124.0,124.0
149,software developer,Software Engineer,Onward Search,Camas,Washington,,Remote,36.2,,,,,,10361.54,,,,75521.54000000001,,
150,software developer,Entry Level Computer/Software Engineer,Naval Nuclear Laboratory,West Mifflin,Pennsylvania,78.5,Remote,28.744444444444444,,$958.00,17.02,430.8,84.33,5933.278888888889,78.5,78.5,2850.12,57673.27888888889,57751.77888888889,2928.62
151,software developer,Backend Software Engineer,Cast & Crew,New York,New York,145.0,Remote,19.1,,,,,,10831.74,145.0,145.0,,45211.74,45356.74,145.0
152,software developer,Software Development Engineer,Adobe,San Jose,California,159.5,Remote,61.01875,,,,,,8394.62,159.5,159.5,,118228.37,118387.87,159.5
153,software developer,Software Engineer,Microsoft,Mountain View,California,128.5,Remote,61.01875,,,,,,9701.970434782608,128.5,128.5,,119535.7204347826,119664.2204347826,128.5
154,software developer,Experienced Software Engineer Java / Python (Full Stack or Back End),JPMorganChase,Plano,Texas,131.5,Remote,40.717857142857156,,,,,,7098.23,131.5,131.5,,80390.37285714288,80521.87285714288,131.5
155,software developer,Research Software Engineer,New York University,New York,New York,175.0,Remote,19.1,,,,,,10831.74,175.0,175.0,,45211.74,45386.74,175.0
156,software developer,Software QA Engineer II,Arthrex,Naples,Florida,92.5,Remote,41.642857142857146,,"$1,218.00",15.28,322.3,83.25,4590.725714285714,92.5,92.5,2649.24,79547.86857142857,79640.36857142857,2741.74
157,software developer,"Software Engineer III (Delphi, API's)",EasyPost,Remote,Unknown,147.0,Remote,,,,,,,,147.0,147.0,,,147.0,147.0
158,software developer,Software Engineers,Fusion Plus Solutions Inc.,Edison,New Jersey,107.5,Remote,,,"$1,368.00",17.69,427.8,82.79,10903.23,107.5,107.5,2904.0,,107.5,3011.5
